requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,NFR,FR,0.95,"The requirement focuses on usability (ease of use for novice users) and performance efficiency (completion time constraint), which are quality attributes rather than specific system functions.",easy for customers with novice skills; under 3 minutes; usability attribute; time constraint,11.028216
The website shall not be offensive to religious or ethnic groups.,NFR,NFR,0.95,"This requirement specifies a quality attribute (appropriateness of content) rather than a specific system function. It relates to the ISO/IEC 25010 Usability characteristic, specifically appropriateness recognizability and cultural appropriateness.",not be offensive; religious or ethnic groups; quality constraint; cultural appropriateness,9.476713
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,NFR,NFR,0.95,Specifies a scalability constraint (handling user load) rather than describing specific system functionality. Relates to ISO/IEC 25010 Performance Efficiency characteristic (specifically capacity and scalability).,capable of handling; 1000 users; grow 5 times; scalability constraint,10.652872
ach team owner will need to use a username and password in order to be authenticated to reach the team owner's page,NFR,NFR,0.9,The requirement specifies an authentication mechanism (how access control is implemented) rather than describing a specific system function. It focuses on the security quality attribute (authentication) from ISO/IEC 25010.,authenticated; username and password; access control; security mechanism,9.867909
The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,NFR,NFR,0.8,"Specifies a compatibility constraint requiring consistent terminology with existing systems, aligning with ISO/IEC 25010 Compatibility characteristic (interoperability/co-existence) rather than describing system functionality.",use CCR nomenclature; same nomenclature; existing WCS system; compatibility constraint; interoperability,9.845156
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,NFR,NFR,0.95,"The requirement focuses on the quality attribute of usability (ease of finding help) rather than specifying a system function. It contains qualitative language ('easily locate') and a quantitative measurement ('within 90% of the system'), which are characteristic of non-functional requirements related to ISO/IEC 25010 Usability characteristic.",easily locate; within 90%; usability quality; qualitative language; percentage measurement,11.528645
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,NFR,NFR,0.9,"This requirement specifies a technology constraint rather than describing what the system must do. It focuses on implementation technology selection, which falls under portability and compatibility characteristics in ISO/IEC 25010.",must make use of; web/application server technology; technology constraint; implementation specification,10.403543
User shall be able to create a new document using a predefined or custom template,FR,FR,0.95,"Describes a specific system function (document creation) that the system must perform, specifying user interaction and system behavior rather than quality attributes.",create; new document; user shall be able to; predefined or custom template; system function,9.41284
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,NFR,NFR,0.95,"The requirement specifies a measurable quality outcome (productivity improvement) with a percentage target and time constraint, focusing on how well the system performs rather than what specific functions it provides.",increase productivity; 80%; within 1 month; quality outcome; percentage measurement,11.139112
The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,FR,NFR,0.9,The requirement describes a specific system capability (connecting to external databases) rather than a quality attribute or constraint. It defines WHAT the system must do - establish connections to additional databases.,shall have the ability; connect; databases; system capability,9.34928
If a flight plan is active and the hover in place command is rescinded  the FlightManager shall notify the UAV to continue to the originally designated waypoint.,FR,FR,0.95,"The requirement describes a specific system behavior (notification to UAV) triggered by specific conditions, defining WHAT the system must do rather than how well it performs.",shall notify; continue to waypoint; system behavior; action verb 'notify'; conditional logic,10.266445
The website will allow customers to search for movies by title actor or director.,FR,FR,0.95,"Describes a specific system function (search capability) that the website must provide to users, specifying what the system does rather than how well it performs.",allow; search; by title; by actor; by director; system function,8.888969
