requirement_text,predicted_label,true_label,confidence,reasoning,key_indicators,processing_time
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,FR,FR,0.95,The requirement describes a specific system behavior and user interaction - allowing a player to define a shot based on a condition (shot marked as hit). It focuses on WHAT the system must do rather than how well it performs.,shall allow; define a shot; system behavior; user interaction,10.328132
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,NFR,FR,0.9,"The second part specifies a usability quality attribute (ease of use) with a learnability constraint (after two weeks), which aligns with ISO/IEC 25010 Usability characteristic. The first part describes a functional capability, but the requirement as a whole is classified based on its primary quality-focused statement.",easy to use; System Administrators and DBAs; after two weeks of usage; usability; learnability,12.279363
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,NFR,NFR,0.9,This requirement specifies a technology constraint and implementation approach rather than describing what the system must do. It focuses on the architectural solution (how the system should be built) rather than system behavior or functionality.,must make use of; web/application server technology; technology constraint; implementation approach,10.70044
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,NFR,NFR,0.95,"The requirement specifies a quality attribute (ease of finding help) and includes a quantitative measurement (90% coverage), focusing on how well the system supports usability rather than describing a specific function.",easily locate; within 90%; usability quality; quantitative measurement,10.149337
All actions that modify an existing dispute case must be recorded in the case history.,FR,FR,0.95,The requirement specifies a specific system behavior (recording actions) rather than a quality attribute. It describes WHAT the system must do with data modifications.,recorded; actions; modify; must be recorded; system behavior,8.874685
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,FR,FR,0.95,Describes a specific system behavior - what the leads washing functionality must do (return data with rejection reasons). Focuses on system output and data processing rather than quality attributes.,return; lead data; reason of rejection; functionality; data processing,10.591907
The website shall not be offensive to religious or ethnic groups.,NFR,NFR,0.95,"This requirement specifies a quality attribute (appropriateness of content) rather than a specific system function. It relates to the ISO/IEC 25010 Usability characteristic, specifically appropriateness recognizability and cultural appropriateness.",not be offensive; religious or ethnic groups; quality constraint; cultural appropriateness,9.432619
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,NFR,FR,0.95,"The requirement focuses on usability (ease of use for novice users) and performance efficiency (time constraint of under 3 minutes), which are quality attributes rather than specific system functions.",easy for customers with novice skills; under 3 minutes; usability; performance constraint,10.537464
The product shall record meeting entries.,FR,FR,0.95,The requirement describes a specific system function (recording data) rather than a quality attribute or constraint. It contains the action verb 'record' which indicates system behavior.,record; shall; meeting entries; action verb,8.676779
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,NFR,NFR,0.9,"The requirement specifies a measurable quality outcome (productivity improvement) rather than a specific system function. It contains percentage measurement (80%) and time constraint (within 1 month), indicating a usability/efficiency quality attribute per ISO/IEC 25010.",increase productivity; 80%; within 1 month; quality outcome; measurement constraint,12.062954
